,blueWins
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,0
527,1
528,1
529,1
530,0
531,0
532,0
533,1
534,1
535,1
536,1
537,0
538,1
539,0
540,0
541,1
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,1
570,1
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,1
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,1
628,1
629,1
630,0
631,0
632,1
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,0
649,0
650,0
651,1
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,1
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,1
715,1
716,0
717,0
718,0
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,0
756,1
757,0
758,1
759,0
760,0
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
